time,position
0.000000000000000000e+00,-8.000000000000000654e-05
1.002004008016032209e-08,-7.999998716156949254e-05
2.004008016032064418e-08,-7.999989760148112959e-05
3.006012024048096958e-08,-7.999965544594593591e-05
4.008016032064128836e-08,-7.999918574273772321e-05
5.010020040080160715e-08,-7.999841445746968898e-05
6.012024048096193916e-08,-7.999726846987090028e-05
7.014028056112225794e-08,-7.999567557006277761e-05
8.016032064128257673e-08,-7.999356445483568709e-05
9.018036072144289551e-08,-7.999086472392532947e-05
1.002004008016032143e-07,-7.998750687628940008e-05
1.102204408817635463e-07,-7.998342230638397785e-05
1.202404809619238783e-07,-7.997854330044013103e-05
1.302605210420841839e-07,-7.997280303274036041e-05
1.402805611222445159e-07,-7.996613556189515089e-05
1.503006012024048214e-07,-7.995847582711950949e-05
1.603206412825651535e-07,-7.994975964450939498e-05
1.703406813627254855e-07,-7.993992370331832369e-05
1.803607214428857910e-07,-7.992890556223382619e-05
1.903807615230461230e-07,-7.991664364565399890e-05
2.004008016032064286e-07,-7.990307723996397434e-05
2.104208416833667606e-07,-7.988814648981248630e-05
2.204408817635270926e-07,-7.987179239438831296e-05
2.304609218436873982e-07,-7.985395680369689628e-05
2.404809619238477567e-07,-7.983458241483671735e-05
2.505010020040080622e-07,-7.981361276827595645e-05
2.605210420841683677e-07,-7.979099224412890907e-05
2.705410821643286733e-07,-7.976666605843249686e-05
2.805611222444890318e-07,-7.974058025942285985e-05
2.905811623246493373e-07,-7.971268172381179963e-05
3.006012024048096429e-07,-7.968291815306333093e-05
3.106212424849700014e-07,-7.965123806967013833e-05
3.206412825651303069e-07,-7.961759081343018206e-05
3.306613226452906125e-07,-7.958192653772312762e-05
3.406813627254509709e-07,-7.954419620578691091e-05
3.507014028056112765e-07,-7.950435158699423557e-05
3.607214428857715820e-07,-7.946234525312907042e-05
3.707414829659319405e-07,-7.941813057466318745e-05
3.807615230460922461e-07,-7.937166171703267275e-05
3.907815631262525516e-07,-7.932289363691443743e-05
4.008016032064128572e-07,-7.927178207850268791e-05
4.108216432865732157e-07,-7.921828356978554526e-05
4.208416833667335212e-07,-7.916235541882144769e-05
4.308617234468938267e-07,-7.910395571001571570e-05
4.408817635270541852e-07,-7.904304330039707658e-05
