time,position
0.000000000000000000e+00,-8.000000000000000654e-05
4.008016032064128836e-08,-7.999998716156949254e-05
8.016032064128257673e-08,-7.999989760148112959e-05
1.202404809619238783e-07,-7.999965544594593591e-05
1.603206412825651535e-07,-7.999918574273772321e-05
2.004008016032064286e-07,-7.999841445746968898e-05
2.404809619238477567e-07,-7.999726846987090028e-05
2.805611222444890318e-07,-7.999567557006277761e-05
3.206412825651303069e-07,-7.999356445483568709e-05
3.607214428857715820e-07,-7.999086472392532947e-05
4.008016032064128572e-07,-7.998750687628940008e-05
4.408817635270541852e-07,-7.998342230638397785e-05
4.809619238476955133e-07,-7.997854330044013103e-05
5.210420841683367355e-07,-7.997280303274036041e-05
5.611222444889780636e-07,-7.996613556189515089e-05
6.012024048096192857e-07,-7.995847582711950949e-05
6.412825651302606138e-07,-7.994975964450939498e-05
6.813627254509019419e-07,-7.993992370331832369e-05
7.214428857715431641e-07,-7.992890556223382619e-05
7.615230460921844921e-07,-7.991664364565399890e-05
8.016032064128257143e-07,-7.990307723996397434e-05
8.416833667334670424e-07,-7.988814648981248630e-05
8.817635270541083705e-07,-7.987179239438831296e-05
9.218436873747495927e-07,-7.985395680369689628e-05
9.619238476953910266e-07,-7.983458241483671735e-05
1.002004008016032249e-06,-7.981361276827595645e-05
1.042084168336673471e-06,-7.979099224412890907e-05
1.082164328657314693e-06,-7.976666605843249686e-05
1.122244488977956127e-06,-7.974058025942285985e-05
1.162324649298597349e-06,-7.971268172381179963e-05
1.202404809619238571e-06,-7.968291815306333093e-05
1.242484969939880005e-06,-7.965123806967013833e-05
1.282565130260521228e-06,-7.961759081343018206e-05
1.322645290581162450e-06,-7.958192653772312762e-05
1.362725450901803884e-06,-7.954419620578691091e-05
1.402805611222445106e-06,-7.950435158699423557e-05
1.442885771543086328e-06,-7.946234525312907042e-05
1.482965931863727762e-06,-7.941813057466318745e-05
1.523046092184368984e-06,-7.937166171703267275e-05
1.563126252505010206e-06,-7.932289363691443743e-05
1.603206412825651429e-06,-7.927178207850268791e-05
1.643286573146292863e-06,-7.921828356978554526e-05
1.683366733466934085e-06,-7.916235541882144769e-05
1.723446893787575307e-06,-7.910395571001571570e-05
1.763527054108216741e-06,-7.904304330039707658e-05
1.803607214428857963e-06,-7.897957781589413462e-05
