time,position
0.000000000000e+00,-8.000000000000e-05
4.008016032064e-08,-7.999998716157e-05
8.016032064128e-08,-7.999989760148e-05
1.202404809619e-07,-7.999965544595e-05
1.603206412826e-07,-7.999918574274e-05
2.004008016032e-07,-7.999841445747e-05
2.404809619238e-07,-7.999726846987e-05
2.805611222445e-07,-7.999567557006e-05
3.206412825651e-07,-7.999356445484e-05
3.607214428858e-07,-7.999086472393e-05
4.008016032064e-07,-7.998750687629e-05
4.408817635271e-07,-7.998342230638e-05
4.809619238477e-07,-7.997854330044e-05
5.210420841683e-07,-7.997280303274e-05
5.611222444890e-07,-7.996613556190e-05
6.012024048096e-07,-7.995847582712e-05
6.412825651303e-07,-7.994975964451e-05
6.813627254509e-07,-7.993992370332e-05
7.214428857715e-07,-7.992890556223e-05
7.615230460922e-07,-7.991664364565e-05
8.016032064128e-07,-7.990307723996e-05
8.416833667335e-07,-7.988814648981e-05
8.817635270541e-07,-7.987179239439e-05
9.218436873747e-07,-7.985395680370e-05
9.619238476954e-07,-7.983458241484e-05
1.002004008016e-06,-7.981361276828e-05
1.042084168337e-06,-7.979099224413e-05
1.082164328657e-06,-7.976666605843e-05
1.122244488978e-06,-7.974058025942e-05
1.162324649299e-06,-7.971268172381e-05
1.202404809619e-06,-7.968291815306e-05
1.242484969940e-06,-7.965123806967e-05
1.282565130261e-06,-7.961759081343e-05
1.322645290581e-06,-7.958192653772e-05
1.362725450902e-06,-7.954419620579e-05
1.402805611222e-06,-7.950435158699e-05
1.442885771543e-06,-7.946234525313e-05
1.482965931864e-06,-7.941813057466e-05
1.523046092184e-06,-7.937166171703e-05
1.563126252505e-06,-7.932289363691e-05
1.603206412826e-06,-7.927178207850e-05
1.643286573146e-06,-7.921828356979e-05
1.683366733467e-06,-7.916235541882e-05
1.723446893788e-06,-7.910395571002e-05
1.763527054108e-06,-7.904304330040e-05
1.803607214429e-06,-7.897957781589e-05
1.843687374749e-06,-7.891351964761e-05
1.883767535070e-06,-7.884482994811e-05
1.923847695391e-06,-7.877347062767e-05
1.963927855711e-06,-7.869940435059e-05
2.004008016032e-06,-7.862259453145e-05
2.044088176353e-06,-7.854300533138e-05
2.084168336673e-06,-7.846060165435e-05
2.124248496994e-06,-7.837534914344e-05
2.164328657315e-06,-7.828721417712e-05
2.204408817635e-06,-7.819616386554e-05
2.244488977956e-06,-7.810216604676e-05
2.284569138277e-06,-7.800518928308e-05
2.324649298597e-06,-7.790520285730e-05
2.364729458918e-06,-7.780217676897e-05
2.404809619238e-06,-7.769608173071e-05
2.444889779559e-06,-7.758688916444e-05
2.484969939880e-06,-7.747457119770e-05
2.525050100200e-06,-7.735910065990e-05
2.565130260521e-06,-7.724045107860e-05
2.605210420842e-06,-7.711859667581e-05
2.645290581162e-06,-7.699351236421e-05
2.685370741483e-06,-7.686517374350e-05
2.725450901804e-06,-7.673355709662e-05
2.765531062124e-06,-7.659863938605e-05
2.805611222445e-06,-7.646039825009e-05
2.845691382766e-06,-7.631881199910e-05
2.885771543086e-06,-7.617385961186e-05
2.925851703407e-06,-7.602552073173e-05
2.965931863727e-06,-7.587377566304e-05
3.006012024048e-06,-7.571860536729e-05
3.046092184369e-06,-7.555999145945e-05
3.086172344689e-06,-7.539791620425e-05
3.126252505010e-06,-7.523236251245e-05
3.166332665331e-06,-7.506331393708e-05
3.206412825651e-06,-7.489075466978e-05
3.246492985972e-06,-7.471466953703e-05
3.286573146293e-06,-7.453504399646e-05
3.326653306613e-06,-7.435186413307e-05
3.366733466934e-06,-7.416511665557e-05
3.406813627255e-06,-7.397478889264e-05
3.446893787575e-06,-7.378086878916e-05
3.486973947896e-06,-7.358334490257e-05
3.527054108216e-06,-7.338220639907e-05
3.567134268537e-06,-7.317744304992e-05
3.607214428858e-06,-7.296904522775e-05
3.647294589178e-06,-7.275700390280e-05
3.687374749499e-06,-7.254131063918e-05
3.727454909820e-06,-7.232195759121e-05
3.767535070140e-06,-7.209893749965e-05
3.807615230461e-06,-7.187224368796e-05
3.847695390782e-06,-7.164187005864e-05
3.887775551102e-06,-7.140781108943e-05
3.927855711423e-06,-7.117006182966e-05
3.967935871743e-06,-7.092861789647e-05
4.008016032064e-06,-7.068347547112e-05
4.048096192385e-06,-7.043463129524e-05
4.088176352705e-06,-7.018208266713e-05
4.128256513026e-06,-6.992582743805e-05
4.168336673347e-06,-6.966586400842e-05
4.208416833667e-06,-6.940219132421e-05
4.248496993988e-06,-6.913480887312e-05
4.288577154309e-06,-6.886371668090e-05
4.328657314629e-06,-6.858891530763e-05
4.368737474950e-06,-6.831040584398e-05
4.408817635271e-06,-6.802818990749e-05
4.448897795591e-06,-6.774226963886e-05
4.488977955912e-06,-6.745264769821e-05
4.529058116232e-06,-6.715932726136e-05
4.569138276553e-06,-6.686231201612e-05
4.609218436874e-06,-6.656160615854e-05
4.649298597194e-06,-6.625721438922e-05
4.689378757515e-06,-6.594914190955e-05
4.729458917836e-06,-6.563739441802e-05
4.769539078156e-06,-6.532197810648e-05
4.809619238477e-06,-6.500289965641e-05
4.849699398798e-06,-6.468016623521e-05
4.889779559118e-06,-6.435378549249e-05
4.929859719439e-06,-6.402376555628e-05
4.969939879760e-06,-6.369011502941e-05
5.010020040080e-06,-6.335284298570e-05
5.050100200401e-06,-6.301195896626e-05
5.090180360721e-06,-6.266747297580e-05
5.130260521042e-06,-6.231939547887e-05
5.170340681363e-06,-6.196773739613e-05
5.210420841683e-06,-6.161251010067e-05
5.250501002004e-06,-6.125372541425e-05
5.290581162325e-06,-6.089139560358e-05
5.330661322645e-06,-6.052553337661e-05
5.370741482966e-06,-6.015615187880e-05
5.410821643287e-06,-5.978326468938e-05
5.450901803607e-06,-5.940688581768e-05
5.490981963928e-06,-5.902702969933e-05
5.531062124248e-06,-5.864371119259e-05
5.571142284569e-06,-5.825694557462e-05
5.611222444890e-06,-5.786674853775e-05
5.651302605210e-06,-5.747313618573e-05
5.691382765531e-06,-5.707612503006e-05
5.731462925852e-06,-5.667573198622e-05
5.771543086172e-06,-5.627197436999e-05
5.811623246493e-06,-5.586486989366e-05
5.851703406814e-06,-5.545443666239e-05
5.891783567134e-06,-5.504069317042e-05
5.931863727455e-06,-5.462365829737e-05
5.971943887776e-06,-5.420335130453e-05
6.012024048096e-06,-5.377979183112e-05
6.052104208417e-06,-5.335299989056e-05
6.092184368737e-06,-5.292299586678e-05
6.132264529058e-06,-5.248980051044e-05
6.172344689379e-06,-5.205343493527e-05
6.212424849699e-06,-5.161392061430e-05
6.252505010020e-06,-5.117127937616e-05
6.292585170341e-06,-5.072553340135e-05
6.332665330661e-06,-5.027670521851e-05
6.372745490982e-06,-4.982481770070e-05
6.412825651303e-06,-4.936989406170e-05
6.452905811623e-06,-4.891195785223e-05
6.492985971944e-06,-4.845103295629e-05
6.533066132265e-06,-4.798714358741e-05
6.573146292585e-06,-4.752031428491e-05
6.613226452906e-06,-4.705056991019e-05
6.653306613226e-06,-4.657793564302e-05
